clubLabel;league;venueLabel;longitude;latitude
Cagliari Calcio;Serie A;Stadio Is Arenas;9.181944;39.230833
Società  di Calcio Palermo;Serie A;Stadio Renzo Barbera;13.342275;38.152767
Juventus F.C.;Serie A;Juventus Stadium;7.641247;45.109594
Napoli;Serie A;Stadio San Paolo;14.193008;40.827967
Empoli F.C.;Serie A;Stadio Carlo Castellani;10.955;43.726389
U.S. Sassuolo Calcio;Serie A;Stadio Alberto Braglia;10.923333;44.653611
F.C. Crotone;Serie A;Stadio Ezio Scida;17.116667;39.079167
Football Club Internazionale Milano;Serie A;San Siro;9.124;45.47808
A.C. Milan;Serie A;San Siro;9.124;45.47808
S.S. Lazio;Serie A;Stadio Olimpico;12.454714;41.933872
A.S. Roma;Serie A;Stadio Olimpico;12.454714;41.933872
Torino Football Club;Serie A;Stadio Alexis Daniel Torres Ramires;7.65;45.041667
ACF Fiorentina;Serie A;Stadio Artemio Franchi;11.282258;43.780822
Unione Calcio Sampdoria;Serie A;Stadio Luigi Ferraris;8.952428;44.416431
Genoa Cricket and Football Club;Serie A;Stadio Luigi Ferraris;8.952428;44.416431
Udinese;Serie A;Stadio Friuli;13.200136;46.081603
A.C. Chievo Verona;Serie A;Stadio Marc'Antonio Bentegodi;10.968647;45.435356
Bologna F.C. 1909;Serie A;Stadio Renato Dall'Ara;11.30972222;44.49222222
Atalanta B.C.;Serie A;Stadio Atleti Azzurri d'Italia;9.680833;45.708889
Delfino Pescara 1936;Serie A;Stadio Adriatico;14.22944444;42.45527778
Watford Football Club;Premier League;Vicarage Road;-0.401606;51.649928
Queens Park Rangers F.C.;Premier League;Loftus Road;-0.232222222;51.50916667
West Bromwich Albion F.C.;Premier League;The Hawthorns;-1.963888888;52.50916667
Sunderland A.F.C.;Premier League;Stadium of Light;-1.3882;54.9144
Liverpool F.C.;Premier League;Anfield;-2.960827777;53.43081944
Manchester City F.C.;Premier League;Etihad Stadium;-2.200277777;53.48305556
Manchester United F.C.;Premier League;Old Trafford;-2.291388888;53.46305556
Arsenal F.C.;Premier League;Emirates Stadium;-0.108611111;51.555
Chelsea F.C.;Premier League;Stamford Bridge stadium;-0.191111111;51.48166667
Tottenham Hotspur F.C.;Premier League;White Hart Lane;-0.065833333;51.60333333
West Ham United F.C.;Premier League;Boleyn Ground;0.039444444;51.53194444
Stoke City F.C.;Premier League;Britannia Stadium;-2.175555555;52.98833333
Southampton F.C.;Premier League;St Mary's Stadium;-1.391111111;50.90583333
Swansea City A.F.C.;Premier League;Liberty Stadium;-3.9351;51.6422
A.F.C. Bournemouth;Premier League;Dean Court;-1.838333;50.735278
Leicester City F.C.;Premier League;King Power Stadium;-1.142222222;52.62027778
Burnley F.C.;Premier League;Turf Moor;-2.230225;53.789064
Middlesbrough F.C.;Premier League;Riverside Stadium;-1.216944444;54.57833333
Everton F.C.;Premier League;Goodison Park;-2.966388888;53.43888889
Crystal Palace F.C.;Premier League;Selhurst Park;-0.085555555;51.39833333
Deportivo de La Coruña;Primera Division;Estadio Municipal de Riazor;-8.417372;43.368667
Real Betis Balompié;Primera Division;Estadio Benito Villamarín;-5.981611;37.356403
FC Barcelona;Primera Division;Camp Nou;2.1225;41.380833
Real Madrid FC;Primera Division;Estadio Santiago Bernabéu;-3.68835;40.45306
Athletic Club;Primera Division;San Mamés Stadium;-2.949369;43.264205
Valencia CF;Primera Division;Mestalla Stadium;-0.358333;39.474722
Atlético Madrid;Primera Division;Vicente Calderón Stadium;-3.720556;40.401667
Sevilla FC;Primera Division;Estadio Ramón Sánchez Pizjuán;-5.970467;37.383878
RCD Espanyol;Primera Division;Estadi Cornellà-El Prat;2.075667;41.347861
Granada CF;Primera Division;Estadio Nuevo Los Cármenes;-3.595736;37.152967
Málaga CF;Primera Division;La Rosaleda Stadium;-4.426422;36.734092
CA Osasuna;Primera Division;El Sadar Stadium;-1.636944;42.796667
Real Sociedad;Primera Division;Anoeta Stadium;-1.973617;43.301378
Sporting Gijón;Primera Division;El Molinón;-5.637222;43.536111
Rayo Vallecano;Primera Division;Campo de Futbol de Vallecas;-3.658961;40.391944
Levante UD;Primera Division;Estadi Ciutat de València;-0.364167;39.494722
RCD Espanyol;Primera Division;Estadi de Sarrià;2.133169;41.393111
RC Celta;Primera Division;Balaídos;-8.740328;42.211861
CD Legañes;Primera Division;Estadio Municipal de utarque;-3.7607;40.3404
FC Bayern Munich;Bundesliga;Allianz Arena;11.62475278;48.218775
TSG 1899 Hoffenheim;Bundesliga;Rhein-Neckar Arena;8.888278;49.239
Hamburger SV;Bundesliga;Volksparkstadion;9.898611;53.586944
FC Schalke 04;Bundesliga;Veltins Arena;7.067588888;51.55450278
Hertha BSC;Bundesliga;Olympiastadion Berlin;13.23944444;52.51472222
1. FC Köln;Bundesliga;RheinEnergie Stadion;6.875;50.933611
VfB Stuttgart;Bundesliga;Mercedes-Benz Arena;9.231944;48.792222
1. FC Nürnberg;Bundesliga;Stadion Nürnberg;11.125278;49.426389
Borussia Mönchengladbach;Bundesliga;Borussia-Park;6.385463888;51.17458333
SV Werder Bremen;Bundesliga;Weserstadion;8.8375;53.066389
Fortuna Düsseldorf;Bundesliga;Esprit Arena;6.733083;51.261539
VfL Wolfsburg;Bundesliga;Volkswagen Arena;10.803889;52.431944
Bayer 04 Leverkusen;Bundesliga;BayArena;7.002205555;51.03825556
Eintracht Frankfurt;Bundesliga;Commerzbank-Arena;8.645278;50.068611
RB Leipzig;Bundesliga;Red Bull Arena;12.348056;51.345833
SC Freiburg;Bundesliga;Schwarzwald-Stadion;7.893056;47.988889
1. FSV Mainz 05;Bundesliga;Opel Arena;8.224167;49.984167
FC Ingolstadt 04;Bundesliga;Audi Sportpark;11.485;48.74555556
SV Darmstadt 98;Bundesliga;Stadion am Böllenfalltor;8.672222;49.857778
